Service Area,Account Description,Creditor,Journal Date,Journal Reference,Total
Children's Family Services,Stationery,"AMAZON SVCS EUROPE,SAR",26/02/2016,7231,36.1
Children's Family Services,Stationery,"AMAZON SVCS EUROPE,SAR",30/06/2015,4482,170
Children's Service DSG,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",07/08/2015,4921,295.99
Commissioning,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",28/09/2015,5458,17.42
Streetscene,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",13/08/2015,4990,87.5
Streetscene,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",13/08/2015,4991,2.49
Streetscene,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",14/08/2015,5005,12.25
Streetscene,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",17/06/2015,4328,3.26
Children's Family Services,Books-CDs-Audio-Video,Amazon Svcs EuropeS,21/05/2015,5756,23.85
Children's Family Services,Books-CDs-Audio-Video,Amazon Svcs EuropeS,21/05/2015,5757,19.25
Children's Family Services,Books-CDs-Audio-Video,Amazon Svcs EuropeS,21/05/2015,5758,21.75
Children's Family Services,Books-CDs-Audio-Video,Amazon Svcs EuropeS,21/05/2015,5759,21.5
Children's Family Services,Books-CDs-Audio-Video,Amazon Svcs EuropeS,21/05/2015,5760,84.95
Children's Family Services,Books-CDs-Audio-Video,Amazon Svcs EuropeS,21/05/2015,5762,34.78
Children's Family Services,Books-CDs-Audio-Video,Amazon Svcs EuropeS,21/05/2015,5763,20.76
Children's Family Services,Books-CDs-Audio-Video,Amazon Svcs EuropeS,21/05/2015,5764,39.98
Children's Family Services,Books-CDs-Audio-Video,Amazon Svcs EuropeS,21/05/2015,5765,14.63
Children's Family Services,Books-CDs-Audio-Video,Amazon Svcs EuropeS,21/05/2015,5766,11.23
Children's Family Services,Books-CDs-Audio-Video,Amazon Svcs EuropeS,21/05/2015,5767,30.69
Children's Family Services,Books-CDs-Audio-Video,Amazon Svcs EuropeS,21/05/2015,5768,29
Children's Family Services,Books-CDs-Audio-Video,Amazon Svcs EuropeS,21/05/2015,5769,9.68
Children's Family Services,Books-CDs-Audio-Video,Amazon Svcs EuropeS,21/05/2015,5770,12.8
Children's Family Services,Books-CDs-Audio-Video,Amazon Svcs EuropeS,21/05/2015,5761,58.64
Children's Family Services,Books-CDs-Audio-Video,Amazon Svcs EuropeS,21/05/2015,5835,32.46
Children's Family Services,Books-CDs-Audio-Video,Amazon Svcs EuropeS,21/05/2015,5838,11.45
Children's Family Services,Books-CDs-Audio-Video,Amazon Svcs EuropeS,21/05/2015,5786,2.74
Children's Family Services,Books-CDs-Audio-Video,Amazon Svcs EuropeS,21/05/2015,5789,3.12
Children's Family Services,Books-CDs-Audio-Video,Amazon Svcs EuropeS,21/05/2015,5790,3.76
