Service Area,Account Description,Creditor,Journal Date,Journal Reference,Total
Children's Family Services,Other Transfer Payments to Soc,TESCO STORES 2296,21/07/2015,4720,10.59
Children's Family Services,Other Transfer Payments to Soc,TESCO STORES 2296,29/07/2015,4836,3.35
Children's Family Services,Other Transfer Payments to Soc,TESCO STORES 2296,29/07/2015,4837,0.85
Children's Family Services,Food Costs,TESCO STORES 2467,28/12/2015,6541,3
Children's Family Services,Cleaning and domestic material,TESCO STORES 2479,06/11/2015,5906,1.6
Children's Family Services,Cleaning and domestic material,TESCO STORES 2479,12/10/2015,5600,3.6
Children's Family Services,Cleaning and domestic material,TESCO STORES 2479,25/01/2016,6791,2.4
Children's Family Services,Cleaning and domestic material,TESCO STORES 2479,29/05/2015,3257,3.2
Children's Family Services,Equipment and Materials Purcha,TESCO STORES 2479,13/07/2015,4637,6
Children's Family Services,Equipment and Materials Purcha,TESCO STORES 2479,31/07/2015,4855,2
Children's Family Services,Food Costs,TESCO STORES 2479,21/09/2015,5363,6.67
Children's Family Services,Food Costs,TESCO STORES 2479,28/05/2015,3234,4.58
Children's Family Services,Food Costs,TESCO STORES 2729,05/02/2016,6967,3.35
Children's Family Services,Food Costs,TESCO STORES 2729,18/11/2015,6052,0.68
Children's Education & Skills,Equipment and Materials Purcha,TESCO STORES 3050,07/07/2015,4564,19.5
Children's Education & Skills,Food Costs,TESCO STORES 3050,01/02/2016,6903,15
Children's Education & Skills,Food Costs,TESCO STORES 3050,03/06/2015,3309,14
Children's Education & Skills,Food Costs,TESCO STORES 3050,08/02/2016,7009,6.33
Children's Education & Skills,Food Costs,TESCO STORES 3050,14/05/2015,3115,10
Children's Education & Skills,Stationery,TESCO STORES 3050,29/02/2016,7256,26.67
Children's Family Services,Other Services,TESCO STORES 3050,24/12/2015,6532,59.9
Children's Education & Skills,Food Costs,TESCO STORES 5531,18/01/2016,6710,3.48
Children's Family Services,Cleaning and domestic material,TESCO STORES 5655,11/11/2015,5970,2.97
Children's Family Services,Cleaning and domestic material,TESCO STORES 5655,13/08/2015,4993,6.98
Children's Family Services,Cleaning and domestic material,TESCO STORES 5655,13/11/2015,6006,3.87
Children's Family Services,Cleaning and domestic material,TESCO STORES 5655,14/09/2015,5312,3.36
Children's Family Services,Cleaning and domestic material,TESCO STORES 5655,14/10/2015,5626,12.21
Children's Family Services,Cleaning and domestic material,TESCO STORES 5655,17/02/2016,7107,6
Children's Family Services,Cleaning and domestic material,TESCO STORES 5655,17/02/2016,7108,3.87
Children's Family Services,Cleaning and domestic material,TESCO STORES 5655,18/05/2015,3133,4.75
Children's Family Services,Cleaning and domestic material,TESCO STORES 5655,22/02/2016,7165,1.6
Children's Family Services,Cleaning and domestic material,TESCO STORES 5655,24/06/2015,4424,1.05
Children's Family Services,Cleaning and domestic material,TESCO STORES 5655,24/08/2015,5099,3.87
Children's Family Services,Cleaning and domestic material,TESCO STORES 5655,28/09/2015,5450,5.81
Children's Family Services,Food Costs,TESCO STORES 5655,02/12/2015,6237,3.53
Children's Family Services,Food Costs,TESCO STORES 5655,13/01/2016,6647,0.59
Children's Family Services,Food Costs,TESCO STORES 5655,17/02/2016,7108,3.89
Children's Family Services,Equipment and Materials Purcha,TESCO STORES 565500,21/05/2015,5831,11.47
Children's Family Services,Equipment and Materials Purcha,TESCO STORES 565500,21/05/2015,5832,3.98
Children's Family Services,Food Costs,TESCO STORES 6059,23/02/2016,7177,3.6
Children's Education & Skills,Food Costs,TESCO STORES 6412,17/12/2015,6431,36.8
Children's Education & Skills,Food Costs,TESCO STORES 6412,23/10/2015,5735,9
Children's Family Services,Food Costs,TESCO STORES 6412,03/07/2015,4539,14.13
Children's Family Services,Food Costs,TESCO STORES 6412,17/07/2015,4673,17.81
Children's Family Services,Food Costs,TESCO STORES 6412,29/06/2015,4464,11.17
Children's Family Services,Other Agencies - Third Party P,TESCO STORES 6412,25/09/2015,5424,14.78
Children's Family Services,Other Agencies - Third Party P,TESCO STORES 6412,31/07/2015,4851,23.62
Children's Family Services,Equipment and Materials Purcha,TESCO STORES 6440,09/12/2015,6325,175.73
Children's Family Services,Equipment and Materials Purcha,TESCO STORES 6440,15/12/2015,6400,188.57
Children's Family Services,Equipment and Materials Purcha,TESCO STORES 6440,19/11/2015,6066,126.17
Children's Family Services,Food Costs,TESCO STORES 6440,01/02/2016,6881,122.29
Children's Family Services,Food Costs,TESCO STORES 6440,01/03/2016,7267,-1.5
Children's Family Services,Food Costs,TESCO STORES 6440,01/03/2016,7268,181.76
Children's Family Services,Food Costs,TESCO STORES 6440,01/12/2015,6209,139.92
Children's Family Services,Food Costs,TESCO STORES 6440,02/02/2016,6914,188.77
Children's Family Services,Food Costs,TESCO STORES 6440,02/09/2015,5201,112.04
Children's Family Services,Food Costs,TESCO STORES 6440,03/11/2015,5866,119.58
Children's Family Services,Food Costs,TESCO STORES 6440,04/06/2015,4144,127.77
Children's Family Services,Food Costs,TESCO STORES 6440,05/01/2016,6565,173.21
Children's Family Services,Food Costs,TESCO STORES 6440,06/05/2015,3064,125.12
Children's Family Services,Food Costs,TESCO STORES 6440,06/10/2015,5553,170.63
Children's Family Services,Food Costs,TESCO STORES 6440,07/07/2015,4572,159.43
Children's Family Services,Food Costs,TESCO STORES 6440,08/09/2015,5260,173.6
Children's Family Services,Food Costs,TESCO STORES 6440,09/02/2016,7018,186.66
Children's Family Services,Food Costs,TESCO STORES 6440,09/06/2015,4213,205.69
Children's Family Services,Food Costs,TESCO STORES 6440,10/11/2015,5959,250.59
Children's Family Services,Food Costs,TESCO STORES 6440,12/01/2016,6637,194.46
Children's Family Services,Food Costs,TESCO STORES 6440,12/05/2015,3101,165.72
Children's Family Services,Food Costs,TESCO STORES 6440,13/05/2015,3106,70.17
Children's Family Services,Food Costs,TESCO STORES 6440,13/10/2015,5617,161.51
Children's Family Services,Food Costs,TESCO STORES 6440,14/07/2015,4655,116.3
Children's Family Services,Food Costs,TESCO STORES 6440,15/09/2015,5324,175.57
Children's Family Services,Food Costs,TESCO STORES 6440,16/06/2015,4304,174.51
Children's Family Services,Food Costs,TESCO STORES 6440,17/06/2015,4323,74.75
Children's Family Services,Food Costs,TESCO STORES 6440,17/07/2015,4679,49.73
Children's Family Services,Food Costs,TESCO STORES 6440,19/01/2016,6723,-2
Children's Family Services,Food Costs,TESCO STORES 6440,19/01/2016,6724,123.37
Children's Family Services,Food Costs,TESCO STORES 6440,19/05/2015,3146,218.47
Children's Family Services,Food Costs,TESCO STORES 6440,19/06/2015,4361,29.02
Children's Family Services,Food Costs,TESCO STORES 6440,20/07/2015,4699,26.96
Children's Family Services,Food Costs,TESCO STORES 6440,20/10/2015,5691,162.47
Children's Family Services,Food Costs,TESCO STORES 6440,21/07/2015,4718,111.95
Children's Family Services,Food Costs,TESCO STORES 6440,22/09/2015,5388,179.65
Children's Family Services,Food Costs,TESCO STORES 6440,23/02/2016,7181,126.86
Children's Family Services,Food Costs,TESCO STORES 6440,23/06/2015,4411,168.74
Children's Family Services,Food Costs,TESCO STORES 6440,25/11/2015,6136,90.44
Children's Family Services,Food Costs,TESCO STORES 6440,26/01/2016,6816,176.96
Children's Family Services,Food Costs,TESCO STORES 6440,27/10/2015,5786,64.94
Children's Family Services,Food Costs,TESCO STORES 6440,29/09/2015,5472,167.08
Children's Family Services,Food Costs,TESCO STORES 6440,30/06/2015,4484,188.87
Children's Family Services,General Office Expenses,TESCO STORES 6440,01/02/2016,6882,56.69
Children's Family Services,General Office Expenses,TESCO STORES 6440,01/06/2015,3266,102.9
Children's Family Services,General Office Expenses,TESCO STORES 6440,01/12/2015,6197,16.75
Children's Family Services,General Office Expenses,TESCO STORES 6440,03/11/2015,5858,34.1
Children's Family Services,General Office Expenses,TESCO STORES 6440,06/01/2016,6575,22.57
Children's Family Services,General Office Expenses,TESCO STORES 6440,06/07/2015,4549,35
Children's Family Services,General Office Expenses,TESCO STORES 6440,08/06/2015,4171,73.3
Children's Family Services,General Office Expenses,TESCO STORES 6440,11/02/2016,7054,37.35
Children's Family Services,General Office Expenses,TESCO STORES 6440,11/11/2015,5969,74.6
Children's Family Services,General Office Expenses,TESCO STORES 6440,13/10/2015,5613,43.1
Children's Family Services,General Office Expenses,TESCO STORES 6440,14/09/2015,5305,33
Children's Family Services,General Office Expenses,TESCO STORES 6440,15/12/2015,6390,47.93
Children's Family Services,General Office Expenses,TESCO STORES 6440,18/06/2015,4335,111.77
Children's Family Services,General Office Expenses,TESCO STORES 6440,20/01/2016,6742,49.5
Children's Family Services,General Office Expenses,TESCO STORES 6440,21/05/2015,3170,62.2
Children's Family Services,General Office Expenses,TESCO STORES 6440,21/08/2015,5081,111.09
Children's Family Services,General Office Expenses,TESCO STORES 6440,24/02/2016,7192,67.7
Children's Family Services,General Office Expenses,TESCO STORES 6440,25/11/2015,6135,43.21
Children's Family Services,General Office Expenses,TESCO STORES 6440,26/08/2015,5131,43.55
Children's Family Services,General Office Expenses,TESCO STORES 6440,31/07/2015,4853,37.99
Children's Family Services,Miscellaneous Expenses,TESCO STORES 6440,18/12/2015,6459,146.98
Children's Family Services,Equipment and Materials Purcha,TESCO STORES 644000,21/05/2015,5834,30
Children's Family Services,Equipment and Materials Purcha,TESCO STORES 644000,21/05/2015,5697,198.17
Children's Family Services,Equipment and Materials Purcha,TESCO STORES 644000,21/05/2015,5698,212.25
Children's Family Services,Equipment and Materials Purcha,TESCO STORES 644000,21/05/2015,5700,159.31
Children's Family Services,Food Costs,TESCO STORES 6541,05/10/2015,5539,5.24
Children's Family Services,Other Services,TESCO STORES-2126,07/09/2015,5232,34.9
Children's Family Services,Equipment and Materials Purcha,TFH,03/02/2016,6947,49.34
Assurance,Miscellaneous Expenses,TFL CC/LEZ CHARGE,06/05/2015,3061,9.58
Assurance,Other Vehicle Costs,TFL CC/LEZ CHARGE,04/09/2015,5220,11.5
Assurance,Other Vehicle Costs,TFL CC/LEZ CHARGE,07/09/2015,5229,11.5
Assurance,Other Vehicle Costs,TFL CC/LEZ CHARGE,11/06/2015,4224,11.5
Assurance,Other Vehicle Costs,TFL CC/LEZ CHARGE,18/08/2015,5034,11.5
Assurance,Other Vehicle Costs,TFL CC/LEZ CHARGE,21/05/2015,3165,11.5
Assurance,Other Vehicle Costs,TFL CC/LEZ CHARGE,21/05/2015,3166,11.5
Assurance,Other Vehicle Costs,TFL CC/LEZ CHARGE,21/07/2015,4709,11.5
Assurance,Other Vehicle Costs,TFL CC/LEZ CHARGE,21/10/2015,5695,11.5
Assurance,Other Vehicle Costs,TFL CC/LEZ CHARGE,24/02/2016,7190,11.5
Assurance,Other Vehicle Costs,TFL CC/LEZ CHARGE,28/10/2015,5792,11.5
Assurance,Other Vehicle Costs,TFL CC/LEZ CHARGE,29/01/2016,6859,11.5
Children's Family Services,Other Agencies - Third Party P,TFL CC/LEZ CHARGE,18/08/2015,5036,9.58
Children's Family Services,Travelling Expenses,TFL CC/LEZ CHARGE,11/08/2015,4954,11.5
Assurance,Travelling Expenses,TFL CC/LEZ CHARGE00,21/05/2015,5717,11.5
Assurance,Other Vehicle Costs,TFL CC/LEZ PENALTY,16/07/2015,4671,65
Children's Family Services,Other Transfer Payments to Soc,TFL OYST PHOTOCARD,11/12/2015,6343,10
Children's Family Services,Other Transfer Payments to Soc,TFL OYST PHOTOCARD,26/02/2016,7237,10
Children's Family Services,Travelling Expenses,TFL OYST PHOTOCARD,01/05/2015,3040,10
Children's Family Services,Travelling Expenses,TFL OYST PHOTOCARD,01/07/2015,4502,10
Children's Family Services,Travelling Expenses,TFL OYST PHOTOCARD,09/07/2015,4606,10
Children's Family Services,Travelling Expenses,TFL OYST PHOTOCARD,10/09/2015,5279,20
Children's Family Services,Travelling Expenses,TFL OYST PHOTOCARD,18/09/2015,5355,10
Children's Family Services,Travelling Expenses,TFL OYST PHOTOCARD,27/07/2015,4808,10
Children's Family Services,Travelling Expenses,TFL OYST PHOTOCARD,27/07/2015,4809,10
Children's Family Services,Travelling Expenses,TFL OYST PHOTOCARD,29/01/2016,6862,20
Children's Family Services,Travelling Expenses,TFL OYST PHOTOCARD,30/12/2015,6551,10
Children's Family Services,Food Costs,TGI FRIDAY'S,11/03/2016,7410,81.13
Children's Family Services,Other Transfer Payments to Soc,THAMES WATER WEB PAYM,13/07/2015,4623,224.66
Children's Family Services,Water Services,THAMES WATER WEB PAYM,07/05/2015,3070,224.66
Children's Family Services,Water Services,THAMES WATER WEB PAYM,28/07/2015,4812,35.91
Children's Family Services,Books-CDs-Audio-Video,THE BOOK PEOPLE,23/02/2016,7187,43.96
Children's Family Services,E19 - Learning Resources,THE BOOK PEOPLE,02/11/2015,5822,2.91
Children's Family Services,E19 - Learning Resources,THE BOOK PEOPLE,02/11/2015,5826,13.28
Children's Family Services,E19 - Learning Resources,THE BOOK PEOPLE,02/12/2015,6233,42.43
Children's Family Services,Equipment and Materials Purcha,THE BOOK PEOPLE,09/11/2015,5929,256.82
Children's Family Services,Equipment and Materials Purcha,THE BROADWALK CENT,10/09/2015,5283,120
Children's Family Services,Food Costs,THE BROWN EAGLE,29/07/2015,4823,32.5
Children's Family Services,Other Services,THE CAKE DECORATING CO,11/02/2016,7062,73.65
Assurance,Pool Transport Charges,THE CONFERENCE NET,15/07/2015,4662,396
Children's Family Services,Printing-Contract,THE DANWOOD GROUP,15/09/2015,5320,216.35
Children's Service DSG,Training,THE EAR FOUNDATION,03/08/2015,4858,95
Commissioning,Subscriptions,THE EMERGENCY PLAN,11/01/2016,6629,120
Commissioning,Subscriptions,THE EMERGENCY PLAN,11/06/2015,4226,120
Assurance,Miscellaneous Expenses,THE GRAPEVINE,17/02/2016,7110,22.47
Assurance,Miscellaneous Expenses,THE GRAPEVINE,21/05/2015,3173,33.3
Assurance,Miscellaneous Expenses,THE GRAPEVINE,21/05/2015,3174,16.65
Assurance,Miscellaneous Expenses,THE GRAPEVINE,24/07/2015,4792,31.66
Assurance,Miscellaneous Expenses,THE GRAPEVINE,27/01/2016,6833,39.95
Children's Education & Skills,Food Costs,THE GRAPEVINE,08/12/2015,6315,-301.35
Children's Education & Skills,Food Costs,THE GRAPEVINE,22/10/2015,5730,350.73
Children's Family Services,Legal and Court Fees,THE HOME OFFICE,09/11/2015,5922,260
Children's Family Services,Miscellaneous Expenses,THE HOME OFFICE,23/06/2015,4412,649
Children's Family Services,Other Agencies - Third Party P,THE HOME OFFICE,01/06/2015,3264,60
Children's Education & Skills,Training,THE NURTURE GROUP NETW,14/10/2015,5624,35.42
Children's Education & Skills,Training,THE NURTURE GROUP NETW,23/09/2015,5394,162.5
Children's Service DSG,Equipment and Materials Purcha,THE NURTURE GROUP NETW,14/07/2015,4657,89.96
Children's Family Services,Postage,THE POST OFFICE,04/01/2016,6558,54
Children's Family Services,Postage,THE POST OFFICE,16/09/2015,5339,97.5
Children's Family Services,Miscellaneous Expenses,THE RANGE,26/10/2015,5759,90.04
Children's Family Services,Stationery,THE READING AGENCY,29/10/2015,5804,208
Assurance,Miscellaneous Expenses,THE SPIRES,01/07/2015,4505,255
Commissioning,Other Services,THE TROPHY CENTRE,14/09/2015,5306,300
Children's Family Services,Books-CDs-Audio-Video,THE WHO CARE TRUST,27/10/2015,5778,6.75
Children's Family Services,Other Agencies - Third Party P,THIRSTY SCHOLAR LIMITE,03/02/2016,6945,69
Children's Family Services,Other Agencies - Third Party P,THIRSTY SCHOLAR LIMITE,23/02/2016,7184,79
Children's Family Services,Other Services,THORPE PARK /ENT/,29/05/2015,3258,99.96
Children's Family Services,Other Services,THORPE PARK /ENT/,29/05/2015,3260,100
Children's Family Services,Food Costs,THORPE PARK RESORT,29/05/2015,3261,35.04
Children's Family Services,Other Transfer Payments to Soc,THRILLPIC MEDIA LTD,05/10/2015,5542,15
Assurance,Pool Transport Charges,TICKETOFFICESALE,25/09/2015,5429,18
Children's Family Services,Other Services,TICKETOFFICESALE,20/01/2016,6746,22.17
Children's Family Services,Other Services,TOTTERIDGE & WHETS,11/05/2015,3087,64.82
Children's Family Services,Equipment and Materials Purcha,TOYS R US,02/11/2015,5845,49.95
Children's Family Services,Equipment and Materials Purcha,TOYS R US,02/11/2015,5846,43.29
Children's Family Services,Equipment and Materials Purcha,TOYS R US,02/11/2015,5847,29.14
Children's Family Services,Equipment and Materials Purcha,TOYS R US,04/11/2015,5872,91.64
Children's Family Services,Equipment and Materials Purcha,TOYS R US,04/11/2015,5880,48.69
Children's Family Services,Equipment and Materials Purcha,TOYS R US,04/11/2015,5881,49.98
Children's Family Services,Equipment and Materials Purcha,TOYS R US,05/11/2015,5885,108.26
Children's Family Services,Equipment and Materials Purcha,TOYS R US,05/11/2015,5893,68.71
Children's Family Services,Other Services,TRAINLINE,02/11/2015,5831,153.31
Children's Family Services,Travelling Expenses,TRAINLINE,03/12/2015,6260,65.79
Children's Family Services,Travelling Expenses,TRAINLINE,12/02/2016,7069,93.23
Children's Family Services,Travelling Expenses,TRAINLINE,14/12/2015,6356,40.8
Children's Family Services,Travelling Expenses,TRAINLINE,21/03/2016,7517,86.6
Children's Family Services,Travelling Expenses,TRAINLINE,23/09/2015,5401,103.02
Streetscene,Equipment and Materials Purcha,TRAINLINE,09/10/2015,5587,40.8
Assurance,Pool Transport Charges,TRAINLINE.COM,30/06/2015,4477,78.34
Children's Family Services,Travelling Expenses,TRAINLINE.COM,10/07/2015,4620,72.22
Children's Family Services,Travelling Expenses,TRAINLINE.COM,18/06/2015,4338,65.28
Children's Family Services,Other Agencies - Third Party P,TRAVELODGE,01/02/2016,6894,195
Children's Family Services,Other Agencies - Third Party P,TRAVELODGE,10/11/2015,5961,135
Children's Family Services,Other Agencies - Third Party P,TRAVELODGE,12/11/2015,5993,142
Children's Family Services,Other Agencies - Third Party P,TRAVELODGE,16/11/2015,6022,171
Children's Family Services,Other Agencies - Third Party P,TRAVELODGE,17/12/2015,6436,146
Assurance,Miscellaneous Expenses,TRELAWNEY GARDEN C,25/01/2016,6792,37.47
Assurance,Miscellaneous Expenses,TRELAWNEY GARDEN C,29/02/2016,7252,39.15
Adults and Communities,Training,TSGN,02/11/2015,5835,26.8
Adults and Communities,Training,TSGN,28/09/2015,5451,16.4
Assurance,Miscellaneous Expenses,TSGN,01/06/2015,3278,8.33
Assurance,Miscellaneous Expenses,TSGN,03/02/2016,6942,12.5
Assurance,Miscellaneous Expenses,TSGN,05/02/2016,6980,15.1
Assurance,Miscellaneous Expenses,TSGN,11/05/2015,3093,8.33
Assurance,Miscellaneous Expenses,TSGN,25/09/2015,5442,20.3
Assurance,Miscellaneous Expenses,TSGN,29/06/2015,4466,8.33
Children's Family Services,Miscellaneous Expenses,TSGN,15/10/2015,5634,57.9
Children's Family Services,Other Services,TSGN,14/12/2015,6357,22
Children's Family Services,Travelling Expenses,TSGN,06/01/2016,6584,5
Children's Family Services,Travelling Expenses,TSGN,07/10/2015,5555,10.8
Children's Family Services,Travelling Expenses,TSGN,09/10/2015,5589,6.6
Children's Family Services,Travelling Expenses,TSGN,11/01/2016,6627,2
Children's Family Services,Travelling Expenses,TSGN,11/08/2015,4962,32.1
Children's Family Services,Travelling Expenses,TSGN,12/11/2015,5984,5
Children's Family Services,Travelling Expenses,TSGN,12/11/2015,5985,10
Children's Family Services,Travelling Expenses,TSGN,17/11/2015,6028,5
Children's Family Services,Travelling Expenses,TSGN,17/11/2015,6029,5
Children's Family Services,Travelling Expenses,TSGN,22/10/2015,5723,11.5
Children's Family Services,Travelling Expenses,TSGN,28/08/2015,5160,10.8
Children's Family Services,Travelling Expenses,TSGN,29/09/2015,5461,45.15
Children's Family Services,Travelling Expenses,TSGN,30/11/2015,6181,7.9
Assurance,Travelling Expenses,TSGN000000000000000,21/05/2015,5843,21
Children's Family Services,Equipment and Materials Purcha,TV LICENSING,22/07/2015,4724,145.5
Children's Family Services,Subscriptions,TV LICENSING,02/06/2015,3281,121.25
Customer Support Group,Publications,TV LICENSING,03/07/2015,4535,145.5
Customer Support Group,Publications,TV LICENSING,03/07/2015,4536,145.5
Customer Support Group,Publications,TV LICENSING,29/07/2015,4824,145.5
Customer Support Group,Publications,TV LICENSING,29/07/2015,4825,145.5
Children's Family Services,E19 - Learning Resources,TVLICENSING.CO.UK,21/12/2015,6467,121.25
Children's Family Services,General Office Expenses,TVLICENSING.CO.UK,18/06/2015,4330,145.5
Children's Family Services,Miscellaneous Expenses,TVLICENSING.CO.UK,03/11/2015,5853,145.5
Children's Family Services,Other Services,TVLICENSING.CO.UK,21/09/2015,5360,145.5
Children's Family Services,Other Transfer Payments to Soc,TVLICENSING.CO.UK,04/11/2015,5873,145.5
Children's Family Services,Equipment and Materials Purcha,TWINKL LTD,09/10/2015,5593,39.99
Children's Education & Skills,Travelling Expenses,UNIQUE FOOD + WINE,02/10/2015,5527,65.5
Commissioning,Training,UNIVERSITY OF DUNDEE,26/02/2016,7225,160
Children's Family Services,Books-CDs-Audio-Video,UPS LTD SHIPPING FEES,05/02/2016,6979,260.7
Assurance,Miscellaneous Expenses,UPT CHESHIRE EAST BORO,08/05/2015,3074,1.25
Children's Family Services,Equipment and Materials Purcha,VALUE PRODUCTS LTD,17/02/2016,7115,37.46
Children's Family Services,Equipment and Materials Purcha,VALUE PRODUCTS LTD,19/02/2016,7150,40.2
Children's Family Services,Equipment and Materials Purcha,VECTAIR SYSTEMS LT,15/01/2016,6681,263.23
Children's Family Services,Other Transfer Payments to Soc,VIRGIN MOBILE,22/12/2015,6501,129.99
Children's Family Services,Books-CDs-Audio-Video,VIRGINTRAINS.CO.UK,03/03/2016,7318,46.4
Children's Family Services,Other Services,VIRGINTRAINS.CO.UK,23/06/2015,4403,163.2
Children's Family Services,Travelling Expenses,VIRGINTRAINS.CO.UK,15/12/2015,6406,82.6
Children's Family Services,Travelling Expenses,VIRGINTRAINSEC SERVCS,11/05/2015,3095,16.8
Children's Family Services,Travelling Expenses,VIRGINTRAINSEC SERVCS,25/08/2015,5119,40
Children's Family Services,Stationery,VISTAPR VISTAPRINT.UK,02/10/2015,5517,10.58
Children's Family Services,Education CFR Administrative S,VODAFONE,02/07/2015,4509,249.15
Children's Family Services,Education CFR Administrative S,VODAFONE,03/09/2015,5209,232.9
Children's Family Services,Education CFR Administrative S,VODAFONE,07/01/2016,6589,216.65
Children's Family Services,Education CFR Administrative S,VODAFONE,07/10/2015,5557,233.1
Children's Family Services,Education CFR Administrative S,VODAFONE,08/05/2015,3076,216.98
Children's Family Services,Education CFR Administrative S,VODAFONE,10/12/2015,6328,217.81
Children's Family Services,Education CFR Administrative S,VODAFONE,24/07/2015,4777,238.64
Children's Family Services,Education CFR Administrative S,VODAFONE,26/01/2016,6805,216.65
Children's Family Services,Education CFR Administrative S,VODAFONE,27/10/2015,5770,223.4
Children's Family Services,Telephones Calls,VODAFONE,04/06/2015,4141,349.45
Children's Family Services,Education CFR Administrative S,VODAFONE LTD,14/01/2016,6659,332.52
Children's Family Services,Food Costs,VUE BSL LTD,07/03/2016,7343,9.29
Children's Family Services,Other Agencies - Third Party P,VUE BSL LTD,28/09/2015,5454,97.35
Children's Family Services,Other Agencies - Third Party P,VUE BSL LTD,28/09/2015,5455,8.74
Children's Family Services,Other Services,VUE BSL LTD,03/08/2015,4871,39.16
Children's Family Services,Other Services,VUE BSL LTD,07/03/2016,7344,18.58
Children's Family Services,Other Services,VUE BSL LTD,14/03/2016,7426,29.37
Children's Family Services,Other Services,VUE BSL LTD,19/06/2015,4349,44.2
Children's Family Services,Other Services,VUE BSL LTD,30/10/2015,5818,28.37
Children's Family Services,Publications,VUE BSL LTD,01/02/2016,6899,37.16
Children's Family Services,Books-CDs-Audio-Video,W & G FOYLE LTD,24/08/2015,5111,13.04
Children's Education & Skills,Equipment and Materials Purcha,W GADSBY  SON LTD00,21/05/2015,5662,125.99
Children's Education & Skills,Equipment and Materials Purcha,WAITROSE 124,23/10/2015,5737,33.5
Children's Education & Skills,Food Costs,WAITROSE 124,02/10/2015,5515,56.5
Children's Education & Skills,Food Costs,WAITROSE 124,06/10/2015,5551,4.36
Children's Education & Skills,Food Costs,WAITROSE 124,13/11/2015,6005,34.82
Children's Education & Skills,Food Costs,WAITROSE 124,30/07/2015,4848,27.27
Children's Family Services,Food Costs,WAITROSE 191,03/09/2015,5216,3.63
Children's Family Services,Food Costs,WAITROSE 191,03/09/2015,5217,4.95
Children's Family Services,Food Costs,WAITROSE 191,13/08/2015,4987,10
Children's Family Services,Food Costs,WAITROSE 191,22/07/2015,4747,3.97
Children's Family Services,Publications,WAITROSE 191,13/08/2015,4987,0.6
Children's Family Services,Equipment and Materials Purcha,WAITROSE 1910000000,21/05/2015,5739,6.67
Children's Education & Skills,Food Costs,WAITROSE 215,17/12/2015,6430,37.87
Children's Family Services,Food Costs,WAITROSE 531,11/08/2015,4961,5.97
Assurance,Miscellaneous Expenses,WAITROSE 670,07/05/2015,3069,14.71
Assurance,Miscellaneous Expenses,WAITROSE 670,10/07/2015,4621,20.46
Assurance,Miscellaneous Expenses,WAITROSE 670,11/06/2015,4234,15.81
Assurance,Miscellaneous Expenses,WAITROSE 670,12/08/2015,4971,26
Assurance,Other Indirect Employee Expens,WAITROSE 670,15/09/2015,5316,29.03
Assurance,Other Indirect Employee Expens,WAITROSE 670,15/09/2015,5318,26.28
Children's Education & Skills,Equipment and Materials Repair,WAITROSE 670,13/10/2015,5614,5.83
Children's Family Services,Other Services,WAITROSE 670,13/08/2015,4985,16.33
Assurance,Other Indirect Employee Expens,WAITROSE 6700000000,21/05/2015,5725,13.23
Children's Family Services,Other Services,WATERSTONES,17/12/2015,6439,13.98
Children's Family Services,Publications,WATERSTONES,25/09/2015,5438,9.99
Children's Family Services,Publications,WATERSTONES,28/01/2016,6854,9.98
Children's Family Services,Food Costs,WELCOME B/BK,30/06/2015,4474,10.52
Children's Family Services,Travelling Expenses,WESTFIELD E20,05/10/2015,5544,2.7
Children's Education & Skills,Professional Services,WESTMINSTER FORUM,02/12/2015,6245,166.67
Children's Education & Skills,Training,WESTMINSTER FORUM,02/12/2015,6244,43.33
Children's Education & Skills,Training,WESTMINSTER FORUM,15/10/2015,5645,210
Children's Education & Skills,Training,WESTMINSTER FORUM,24/08/2015,5110,210
Commissioning,E19 - Learning Resources,WESTMINSTER FORUM,07/07/2015,4571,252
Assurance,Miscellaneous Expenses,WESTMINSTER PARK/PARKE,12/06/2015,4248,2.5
Children's Family Services,Education CFR Administrative S,WH SMITH,01/02/2016,6879,11.02
Children's Family Services,Equipment and Materials Purcha,WH SMITH,07/09/2015,5234,8.68
Children's Family Services,Equipment and Materials Purcha,WH SMITH,24/08/2015,5107,37.77
Children's Family Services,Stationery,WH SMITH,18/01/2016,6706,7.49
Assurance,Vehicle Running Costs,WHITE ROSE MOTORS SOUT,22/12/2015,6496,278.4
Children's Family Services,Stationery,WHSMITH.CO.UK,07/01/2016,6598,14.54
Children's Family Services,Building Repairs & Maintenance,WICKES,31/03/2016,7648,14.17
Children's Family Services,Building Repairs & Maintenance,WICKES,04/11/2015,5877,105.12
Children's Family Services,Building Repairs & Maintenance,WICKES,08/10/2015,5575,19.43
Children's Family Services,Building Repairs & Maintenance,WICKES,11/11/2015,5967,7.23
Children's Family Services,Building Repairs & Maintenance,WICKES,12/10/2015,5595,41.78
Children's Family Services,Building Repairs & Maintenance,WICKES,13/10/2015,5612,35.73
Children's Family Services,Building Repairs & Maintenance,WICKES,17/03/2016,7494,15.87
Children's Family Services,Building Repairs & Maintenance,WICKES,19/11/2015,6068,8.21
Children's Family Services,Building Repairs & Maintenance,WICKES,23/07/2015,4749,19.06
Children's Family Services,Building Repairs & Maintenance,WICKES,27/10/2015,5774,21.56
Children's Family Services,Building Repairs & Maintenance,WICKES,29/02/2016,7247,44.5
